"Annual commercial landings and effort for Dive fisheries in the Pacific Region, by Pacific Fishery Management Area (PFMA) and Subarea.",,,,,,,,,
"All data available through 2025, by calendar year",,,,,,,,,
"Harvest log data from Dive Fisheries fisheries are made available as a whole season after the season ends; therefore, data from 2025-26 Season are not yet available.",,,,,,,,,
,Fishery,Last Date Available,,,,,,,
Geoduck and Horseclam,76D,1980,16,20,1,1450,*,,
Geoduck and Horseclam,76D,1980,16,21,1,1350,*,,
Geoduck and Horseclam,76D,1980,16,22,1,874,*,,
Geoduck and Horseclam,76D,1980,16,Total,4,18027,40122,,
Geoduck and Horseclam,76D,1980,24,6,1,2640,*,,
Geoduck and Horseclam,76D,1980,24,7,1,6406,*,,
Geoduck and Horseclam,76D,1980,24,Total,1,9046,*,,
Geoduck and Horseclam,76D,1981,14,1,1,366,*,,
Geoduck and Horseclam,76D,1981,14,7,1,0,*,,
Geoduck and Horseclam,76D,1981,14,10,5,9295,50014,,
Geoduck and Horseclam,76D,1981,14,11,2,0,*,,
Geoduck and Horseclam,76D,1981,14,Total,6,9661,60908,,
Geoduck and Horseclam,76D,1981,16,21,1,0,*,,
Geoduck and Horseclam,76D,1981,16,Total,1,0,*,,
Geoduck and Horseclam,76D,1982,14,5,1,0,*,,
Geoduck and Horseclam,76D,1982,14,7,2,360,*,,
Geoduck and Horseclam,76D,1982,14,8,3,6120,32180,,
Geoduck and Horseclam,76D,1982,14,10,4,25069,84887,,
Geoduck and Horseclam,76D,1982,14,11,4,15603,69686,,
Geoduck and Horseclam,76D,1982,14,Total,7,47152,190342,,
Geoduck and Horseclam,76D,1982,16,19,4,730,**,,
Geoduck and Horseclam,76D,1982,16,20,2,0,*,,
Geoduck and Horseclam,76D,1982,16,21,4,5175,11895,,
Geoduck and Horseclam,76D,1982,16,Total,7,5905,20032,,
Geoduck and Horseclam,76D,1982,17,5,1,5185,*,,
Geoduck and Horseclam,76D,1982,17,17,1,4205,*,,
Geoduck and Horseclam,76D,1982,17,Total,1,9390,*,,
Geoduck and Horseclam,76D,1982,23,8,1,0,*,,
Geoduck and Horseclam,76D,1982,23,9,1,0,*,,
Geoduck and Horseclam,76D,1982,23,Total,1,0,*,,
Geoduck and Horseclam,76D,1982,24,6,5,10218,41212,,
Geoduck and Horseclam,76D,1982,24,7,1,3192,*,,
Geoduck and Horseclam,76D,1982,24,8,6,9140,**,,
Geoduck and Horseclam,76D,1982,24,9,7,26824,98350,,
Geoduck and Horseclam,76D,1982,24,Total,8,49374,182804,,
Geoduck and Horseclam,76D,1982,25,0,1,395,*,,
Geoduck and Horseclam,76D,1982,25,13,1,960,*,,
Geoduck and Horseclam,76D,1982,25,14,1,3835,*,,
Geoduck and Horseclam,76D,1982,25,Total,3,5190,23109,,
Geoduck and Horseclam,76D,1982,26,1,3,8690,**,,
Geoduck and Horseclam,76D,1982,26,6,2,7110,*,,
Geoduck and Horseclam,76D,1982,26,Total,3,15800,7824,,
Geoduck and Horseclam,76D,1983,14,0,1,0,*,,
Geoduck and Horseclam,76D,1983,14,Total,1,0,*,,
Geoduck and Horseclam,76D,1983,23,10,1,0,*,,
Geoduck and Horseclam,76D,1983,23,Total,1,0,*,,
Geoduck and Horseclam,76D,1983,25,14,1,3562,*,,
Geoduck and Horseclam,76D,1983,25,Total,1,3562,*,,
Geoduck and Horseclam,76D,1985,14,11,2,1000,*,,
Geoduck and Horseclam,76D,1985,14,Total,2,1000,*,,
Geoduck and Horseclam,76D,1986,14,10,6,11750,**,,
Geoduck and Horseclam,76D,1986,14,11,2,5460,*,,
Geoduck and Horseclam,76D,1986,14,Total,6,17210,138072,,
Geoduck and Horseclam,76D,1986,15,2,1,0,*,,
Geoduck and Horseclam,76D,1986,15,Total,1,0,*,,
Geoduck and Horseclam,76D,1986,16,22,1,0,*,,
Geoduck and Horseclam,76D,1986,16,Total,1,0,*,,
Geoduck and Horseclam,76D,1986,17,5,1,400,*,,
Geoduck and Horseclam,76D,1986,17,Total,1,400,*,,
Geoduck and Horseclam,76D,1987,0,0,2,0,*,,
Geoduck and Horseclam,76D,1987,0,Total,2,0,*,,
Geoduck and Horseclam,76D,1987,12,0,2,4630,*,,
Geoduck and Horseclam,76D,1987,12,Total,2,4630,*,,
Geoduck and Horseclam,76D,1987,14,0,1,0,*,,
Geoduck and Horseclam,76D,1987,14,1,1,0,*,,
Geoduck and Horseclam,76D,1987,14,5,1,520,*,,
Geoduck and Horseclam,76D,1987,14,8,1,6398,*,,
Geoduck and Horseclam,76D,1987,14,10,6,8326,149034,,
Geoduck and Horseclam,76D,1987,14,11,1,0,*,,
Geoduck and Horseclam,76D,1987,14,Total,8,15244,297651,,
Geoduck and Horseclam,76D,1987,15,1,1,360,*,,
Geoduck and Horseclam,76D,1987,15,2,1,1505,*,,
Geoduck and Horseclam,76D,1987,15,Total,2,1865,*,,
Geoduck and Horseclam,76D,1987,16,19,1,1284,*,,
Geoduck and Horseclam,76D,1987,16,21,1,0,*,,
Geoduck and Horseclam,76D,1987,16,Total,1,1284,*,,
Geoduck and Horseclam,76D,1987,17,2,1,10800,*,,
Geoduck and Horseclam,76D,1987,17,5,2,835,*,,
Geoduck and Horseclam,76D,1987,17,8,1,1800,*,,
Geoduck and Horseclam,76D,1987,17,13,1,1600,*,,
Geoduck and Horseclam,76D,1987,17,16,1,1600,*,,
Geoduck and Horseclam,76D,1987,17,17,1,2400,*,,
Geoduck and Horseclam,76D,1987,17,19,5,32685,178751,,
Geoduck and Horseclam,76D,1987,17,Total,7,51720,266137,,
Geoduck and Horseclam,76D,1988,2,0,1,0,*,,
Geoduck and Horseclam,76D,1988,2,Total,1,0,*,,
Geoduck and Horseclam,76D,1988,5,21,1,0,*,,
Geoduck and Horseclam,76D,1988,5,Total,1,0,*,,
Geoduck and Horseclam,76D,1988,13,15,4,4715,25276,,
Geoduck and Horseclam,76D,1988,13,Total,4,4715,25276,,
Geoduck and Horseclam,76D,1988,14,1,1,6115,*,,
Geoduck and Horseclam,76D,1988,14,5,2,2770,*,,
Geoduck and Horseclam,76D,1988,14,10,5,4380,64250,,
Geoduck and Horseclam,76D,1988,14,13,1,200,*,,
Geoduck and Horseclam,76D,1988,14,Total,9,13465,94267,,
Geoduck and Horseclam,76D,1988,15,2,1,0,*,,
Geoduck and Horseclam,76D,1988,15,3,1,0,*,,
Geoduck and Horseclam,76D,1988,15,4,1,1920,*,,
Geoduck and Horseclam,76D,1988,15,Total,3,1920,6645,,
Geoduck and Horseclam,76D,1988,16,21,2,4390,*,,
Geoduck and Horseclam,76D,1988,16,Total,2,4390,*,,
Geoduck and Horseclam,76D,1988,17,0,2,200,*,,
Geoduck and Horseclam,76D,1988,17,2,1,4758,*,,
Geoduck and Horseclam,76D,1988,17,4,1,3200,*,,
Geoduck and Horseclam,76D,1988,17,5,1,1860,*,,
Geoduck and Horseclam,76D,1988,17,6,1,1350,*,,
Geoduck and Horseclam,76D,1988,17,17,2,7130,*,,
Geoduck and Horseclam,76D,1988,17,19,4,2235,10920,,
Geoduck and Horseclam,76D,1988,17,Total,8,20733,107673,,
Geoduck and Horseclam,76D,1988,18,0,1,120,*,,
Geoduck and Horseclam,76D,1988,18,Total,1,120,*,,
Geoduck and Horseclam,76D,1988,19,5,1,820,*,,
Geoduck and Horseclam,76D,1988,19,Total,1,820,*,,
Geoduck and Horseclam,76D,1988,23,10,2,430,*,,
Geoduck and Horseclam,76D,1988,23,Total,2,430,*,,
Geoduck and Horseclam,76D,1988,24,6,6,32962,296540,,
Geoduck and Horseclam,76D,1988,24,9,2,120,*,,
Geoduck and Horseclam,76D,1988,24,10,1,173,*,,
Geoduck and Horseclam,76D,1988,24,11,1,165,*,,
Geoduck and Horseclam,76D,1988,24,Total,6,33420,310679,,
Geoduck and Horseclam,76D,1989,12,6,1,0,*,,
Geoduck and Horseclam,76D,1989,12,8,2,0,*,,
Geoduck and Horseclam,76D,1989,12,16,2,0,*,,
Geoduck and Horseclam,76D,1989,12,Total,2,0,*,,
Geoduck and Horseclam,76D,1989,13,15,1,1145,*,,
Geoduck and Horseclam,76D,1989,13,Total,1,1145,*,,
Geoduck and Horseclam,76D,1989,16,19,1,0,*,,
Geoduck and Horseclam,76D,1989,16,Total,1,0,*,,
Geoduck and Horseclam,76D,1989,17,19,1,2045,*,,
Geoduck and Horseclam,76D,1989,17,Total,1,2045,*,,
Geoduck and Horseclam,76D,1989,19,6,1,143,*,,
Geoduck and Horseclam,76D,1989,19,Total,1,143,*,,
Geoduck and Horseclam,76D,1989,23,0,1,230,*,,
Geoduck and Horseclam,76D,1989,23,4,1,400,*,,
Geoduck and Horseclam,76D,1989,23,5,1,120,*,,
Geoduck and Horseclam,76D,1989,23,Total,3,750,2389,,
Geoduck and Horseclam,76D,1989,24,0,1,0,*,,
Geoduck and Horseclam,76D,1989,24,6,3,7042,34942,,
Geoduck and Horseclam,76D,1989,24,7,1,360,*,,
Geoduck and Horseclam,76D,1989,24,9,1,0,*,,
Geoduck and Horseclam,76D,1989,24,10,1,1500,*,,
Geoduck and Horseclam,76D,1989,24,Total,5,8902,67663,,
Geoduck and Horseclam,76D,1990,14,1,1,1354,*,,
Geoduck and Horseclam,76D,1990,14,4,1,135,*,,
Geoduck and Horseclam,76D,1990,14,5,2,680,*,,
Geoduck and Horseclam,76D,1990,14,10,1,80,*,,
Geoduck and Horseclam,76D,1990,14,11,2,9255,*,,
Geoduck and Horseclam,76D,1990,14,13,1,539,*,,
Geoduck and Horseclam,76D,1990,14,Total,4,12043,53983,,
Geoduck and Horseclam,76D,1990,16,18,1,2665,*,,
Geoduck and Horseclam,76D,1990,16,19,2,55,*,,
Geoduck and Horseclam,76D,1990,16,21,3,3250,9321,,
Geoduck and Horseclam,76D,1990,16,Total,3,5970,11164,,
Geoduck and Horseclam,76D,1990,24,6,5,3950,**,,
Geoduck and Horseclam,76D,1990,24,7,2,7250,*,,
Geoduck and Horseclam,76D,1990,24,Total,5,11200,91866,,
Geoduck and Horseclam,76D,1991,15,2,3,2320,**,,
Geoduck and Horseclam,76D,1991,15,3,2,6980,*,,
Geoduck and Horseclam,76D,1991,15,Total,3,9300,8895,,
Geoduck and Horseclam,76D,1991,17,2,3,5411,41742,,
Geoduck and Horseclam,76D,1991,17,4,1,308,*,,
Geoduck and Horseclam,76D,1991,17,8,2,590,*,,
Geoduck and Horseclam,76D,1991,17,17,1,80,*,,
Geoduck and Horseclam,76D,1991,17,Total,3,6389,46117,,
Geoduck and Horseclam,76D,1991,24,6,4,28120,171948,,
Geoduck and Horseclam,76D,1991,24,Total,4,28120,171948,,
Geoduck and Horseclam,76D,1991,25,13,1,110,*,,
Geoduck and Horseclam,76D,1991,25,14,1,250,*,,
Geoduck and Horseclam,76D,1991,25,Total,2,360,*,,
Geoduck and Horseclam,76D,1992,24,7,1,500,*,,
Geoduck and Horseclam,76D,1992,24,Total,1,500,*,,
Geoduck and Horseclam,76D,1993,5,20,1,5,*,,
Geoduck and Horseclam,76D,1993,5,Total,1,5,*,,
Geoduck and Horseclam,76D,1993,6,9,2,50,*,,
Geoduck and Horseclam,76D,1993,6,Total,2,50,*,,
Geoduck and Horseclam,76D,1993,14,5,1,210,*,,
Geoduck and Horseclam,76D,1993,14,9,1,100,*,,
Geoduck and Horseclam,76D,1993,14,Total,2,310,*,,
Geoduck and Horseclam,76D,1993,15,3,1,2850,*,,
Geoduck and Horseclam,76D,1993,15,Total,1,2850,*,,
Geoduck and Horseclam,76D,1993,24,7,4,2535,20102,,
Geoduck and Horseclam,76D,1993,24,Total,4,2535,20102,,
Geoduck and Horseclam,76D,1993,27,5,1,1160,*,,
Geoduck and Horseclam,76D,1993,27,Total,1,1160,*,,
Geoduck and Horseclam,76D,1994,15,1,1,0,*,,
Geoduck and Horseclam,76D,1994,15,2,3,2455,15555,,
Geoduck and Horseclam,76D,1994,15,3,4,13259,94614,,
Geoduck and Horseclam,76D,1994,15,5,2,397,*,,
Geoduck and Horseclam,76D,1994,15,Total,5,16111,117339,,
Geoduck and Horseclam,76D,1994,17,4,1,1135,*,,
Geoduck and Horseclam,76D,1994,17,5,1,780,*,,
Geoduck and Horseclam,76D,1994,17,17,1,1005,*,,
Geoduck and Horseclam,76D,1994,17,Total,1,2920,*,,
Geoduck and Horseclam,76D,1995,6,14,1,0,*,,
Geoduck and Horseclam,76D,1995,6,Total,1,0,*,,
Geoduck and Horseclam,76D,1995,7,25,1,0,*,,
Geoduck and Horseclam,76D,1995,7,Total,1,0,*,,
Geoduck and Horseclam,76D,1995,8,2,2,0,*,,
Geoduck and Horseclam,76D,1995,8,Total,2,0,*,,
Geoduck and Horseclam,76D,1995,14,9,1,0,*,,
Geoduck and Horseclam,76D,1995,14,11,2,0,*,,
Geoduck and Horseclam,76D,1995,14,Total,3,0,2467,,
Geoduck and Horseclam,76D,1995,24,9,1,50,*,,
Geoduck and Horseclam,76D,1995,24,Total,1,50,*,,
Geoduck and Horseclam,76D,1996,6,13,1,5,*,,
Geoduck and Horseclam,76D,1996,6,Total,1,5,*,,
Geoduck and Horseclam,76D,1997,1,3,1,44,*,,
Geoduck and Horseclam,76D,1997,1,Total,1,44,*,,
Geoduck and Horseclam,76D,1997,2,3,8,932,6632,,
Geoduck and Horseclam,76D,1997,2,6,5,225,1269,,
Geoduck and Horseclam,76D,1997,2,7,2,69,*,,
Geoduck and Horseclam,76D,1997,2,8,3,342,1860,,
Geoduck and Horseclam,76D,1997,2,11,1,195,*,,
Geoduck and Horseclam,76D,1997,2,12,2,216,*,,
Geoduck and Horseclam,76D,1997,2,13,1,45,*,,
Geoduck and Horseclam,76D,1997,2,14,4,148,1040,,
Geoduck and Horseclam,76D,1997,2,15,2,87,*,,
Geoduck and Horseclam,76D,1997,2,17,2,30,*,,
Geoduck and Horseclam,76D,1997,2,18,1,11,*,,
Geoduck and Horseclam,76D,1997,2,19,2,27,*,,
Geoduck and Horseclam,76D,1997,2,Total,11,2327,15885,,
Geoduck and Horseclam,76D,1997,15,1,1,25,*,,
Geoduck and Horseclam,76D,1997,15,2,1,15,*,,
Geoduck and Horseclam,76D,1997,15,Total,1,40,*,,
Geoduck and Horseclam,76D,1998,6,18,1,5,*,,
Geoduck and Horseclam,76D,1998,6,Total,1,5,*,,
Geoduck and Horseclam,76D,1998,7,31,1,10,*,,
Geoduck and Horseclam,76D,1998,7,Total,1,10,*,,
Geoduck and Horseclam,76D,1998,23,9,1,45,*,,
Geoduck and Horseclam,76D,1998,23,Total,1,45,*,,
Geoduck and Horseclam,76D,1998,24,6,4,325,1048,,
Geoduck and Horseclam,76D,1998,24,7,1,108,*,,
Geoduck and Horseclam,76D,1998,24,8,2,101,*,,
Geoduck and Horseclam,76D,1998,24,Total,4,534,1659,,
Geoduck and Horseclam,76D,1999,4,2,2,14,*,,
Geoduck and Horseclam,76D,1999,4,3,1,28,*,,
Geoduck and Horseclam,76D,1999,4,5,1,4,*,,
Geoduck and Horseclam,76D,1999,4,13,1,7,*,,
Geoduck and Horseclam,76D,1999,4,Total,2,53,*,,
Geoduck and Horseclam,76D,1999,5,21,2,18,*,,
Geoduck and Horseclam,76D,1999,5,Total,2,18,*,,
Geoduck and Horseclam,76D,1999,6,13,6,442,1970,,
Geoduck and Horseclam,76D,1999,6,Total,6,442,1970,,
Geoduck and Horseclam,76D,1999,13,15,1,28,*,,
Geoduck and Horseclam,76D,1999,13,Total,1,28,*,,
Geoduck and Horseclam,76D,1999,14,4,1,19,*,,
Geoduck and Horseclam,76D,1999,14,5,4,853,3761,,
Geoduck and Horseclam,76D,1999,14,7,1,65,*,,
Geoduck and Horseclam,76D,1999,14,Total,4,937,3955,,
Geoduck and Horseclam,76D,1999,15,2,1,84,*,,
Geoduck and Horseclam,76D,1999,15,Total,1,84,*,,
Geoduck and Horseclam,76D,1999,16,1,1,10,*,,
Geoduck and Horseclam,76D,1999,16,11,1,40,*,,
Geoduck and Horseclam,76D,1999,16,19,1,16,*,,
Geoduck and Horseclam,76D,1999,16,20,1,166,*,,
Geoduck and Horseclam,76D,1999,16,21,1,26,*,,
Geoduck and Horseclam,76D,1999,16,22,1,15,*,,
Geoduck and Horseclam,76D,1999,16,Total,2,273,*,,
Geoduck and Horseclam,76D,1999,24,6,4,243,906,,
Geoduck and Horseclam,76D,1999,24,7,1,28,*,,
Geoduck and Horseclam,76D,1999,24,8,4,264,814,,
Geoduck and Horseclam,76D,1999,24,9,3,65,**,,
Geoduck and Horseclam,76D,1999,24,Total,5,600,1980,,
Geoduck and Horseclam,76D,1999,106,2,2,69,*,,
Geoduck and Horseclam,76D,1999,106,Total,2,69,*,,
Geoduck and Horseclam,76D,2000,2,3,8,1655,9124,,
Geoduck and Horseclam,76D,2000,2,6,6,369,1884,,
Geoduck and Horseclam,76D,2000,2,7,5,251,1274,,
Geoduck and Horseclam,76D,2000,2,8,8,743,5006,,
Geoduck and Horseclam,76D,2000,2,11,1,99,*,,
Geoduck and Horseclam,76D,2000,2,14,5,189,870,,
Geoduck and Horseclam,76D,2000,2,15,1,12,*,,
Geoduck and Horseclam,76D,2000,2,17,1,19,*,,
Geoduck and Horseclam,76D,2000,2,90,1,68,*,,
Geoduck and Horseclam,76D,2000,2,Total,11,3405,19116,,
Geoduck and Horseclam,76D,2000,13,12,1,10,*,,
Geoduck and Horseclam,76D,2000,13,13,1,101,*,,
Geoduck and Horseclam,76D,2000,13,14,1,40,*,,
Geoduck and Horseclam,76D,2000,13,15,1,92,*,,
Geoduck and Horseclam,76D,2000,13,16,1,42,*,,
Geoduck and Horseclam,76D,2000,13,Total,1,285,*,,
Geoduck and Horseclam,76D,2000,14,11,5,1102,**,,
Geoduck and Horseclam,76D,2000,14,13,1,70,*,,
Geoduck and Horseclam,76D,2000,14,Total,5,1172,6024,,
Geoduck and Horseclam,76D,2000,15,1,1,10,*,,
Geoduck and Horseclam,76D,2000,15,2,1,160,*,,
Geoduck and Horseclam,76D,2000,15,3,1,130,*,,
Geoduck and Horseclam,76D,2000,15,5,1,10,*,,
Geoduck and Horseclam,76D,2000,15,Total,1,310,*,,
Geoduck and Horseclam,76D,2000,19,5,2,120,*,,
Geoduck and Horseclam,76D,2000,19,Total,2,120,*,,
Geoduck and Horseclam,76D,2000,24,6,3,69,276,,
Geoduck and Horseclam,76D,2000,24,7,1,23,*,,
Geoduck and Horseclam,76D,2000,24,8,1,51,*,,
Geoduck and Horseclam,76D,2000,24,Total,3,143,558,,
Geoduck and Horseclam,76D,2001,6,11,1,9,*,,
Geoduck and Horseclam,76D,2001,6,19,1,17,*,,
Geoduck and Horseclam,76D,2001,6,Total,2,26,*,,
Geoduck and Horseclam,76D,2001,7,25,1,40,*,,
Geoduck and Horseclam,76D,2001,7,27,1,39,*,,
Geoduck and Horseclam,76D,2001,7,Total,2,79,*,,
Geoduck and Horseclam,76D,2001,8,2,1,161,*,,
Geoduck and Horseclam,76D,2001,8,Total,1,161,*,,
Geoduck and Horseclam,76D,2001,12,17,1,30,*,,
Geoduck and Horseclam,76D,2001,12,31,1,10,*,,
Geoduck and Horseclam,76D,2001,12,Total,1,40,*,,
Geoduck and Horseclam,76D,2001,14,1,1,10,*,,
Geoduck and Horseclam,76D,2001,14,4,1,80,*,,
Geoduck and Horseclam,76D,2001,14,5,1,100,*,,
Geoduck and Horseclam,76D,2001,14,8,1,40,*,,
Geoduck and Horseclam,76D,2001,14,10,1,140,*,,
Geoduck and Horseclam,76D,2001,14,11,1,15,*,,
Geoduck and Horseclam,76D,2001,14,15,1,55,*,,
Geoduck and Horseclam,76D,2001,14,Total,1,440,*,,
Geoduck and Horseclam,76D,2001,15,2,1,10,*,,
Geoduck and Horseclam,76D,2001,15,Total,1,10,*,,
Geoduck and Horseclam,76D,2001,17,5,1,150,*,,
Geoduck and Horseclam,76D,2001,17,6,1,20,*,,
Geoduck and Horseclam,76D,2001,17,17,1,30,*,,
Geoduck and Horseclam,76D,2001,17,Total,1,200,*,,
Geoduck and Horseclam,76D,2001,24,7,1,30,*,,
Geoduck and Horseclam,76D,2001,24,Total,1,30,*,,
Geoduck and Horseclam,76D,2002,5,17,1,11,*,,
Geoduck and Horseclam,76D,2002,5,Total,1,11,*,,
Geoduck and Horseclam,76D,2002,6,13,1,23,*,,
Geoduck and Horseclam,76D,2002,6,Total,1,23,*,,
Geoduck and Horseclam,76D,2002,14,4,1,300,*,,
Geoduck and Horseclam,76D,2002,14,5,1,260,*,,
Geoduck and Horseclam,76D,2002,14,Total,1,560,*,,
Geoduck and Horseclam,76D,2002,16,19,1,180,*,,
Geoduck and Horseclam,76D,2002,16,20,1,90,*,,
Geoduck and Horseclam,76D,2002,16,Total,1,270,*,,
Geoduck and Horseclam,76D,2002,19,5,1,80,*,,
Geoduck and Horseclam,76D,2002,19,Total,1,80,*,,
Geoduck and Horseclam,76D,2003,1,3,1,7,*,,
Geoduck and Horseclam,76D,2003,1,Total,1,7,*,,
Geoduck and Horseclam,76D,2003,2,3,7,1430,6919,,
Geoduck and Horseclam,76D,2003,2,6,6,276,1114,,
Geoduck and Horseclam,76D,2003,2,7,5,250,1315,,
Geoduck and Horseclam,76D,2003,2,8,7,503,2735,,
Geoduck and Horseclam,76D,2003,2,9,2,36,*,,
Geoduck and Horseclam,76D,2003,2,11,3,410,1425,,
Geoduck and Horseclam,76D,2003,2,12,1,215,*,,
Geoduck and Horseclam,76D,2003,2,14,3,217,987,,
Geoduck and Horseclam,76D,2003,2,17,1,16,*,,
Geoduck and Horseclam,76D,2003,2,65,1,20,*,,
Geoduck and Horseclam,76D,2003,2,70,1,52,*,,
Geoduck and Horseclam,76D,2003,2,Total,10,3425,15857,,
Geoduck and Horseclam,76D,2003,13,16,1,30,*,,
Geoduck and Horseclam,76D,2003,13,Total,1,30,*,,
Geoduck and Horseclam,76D,2003,14,11,3,3490,20648,,
Geoduck and Horseclam,76D,2003,14,Total,3,3490,20648,,
Geoduck and Horseclam,76D,2003,15,2,1,20,*,,
Geoduck and Horseclam,76D,2003,15,3,1,10,*,,
Geoduck and Horseclam,76D,2003,15,Total,1,30,*,,
Geoduck and Horseclam,76D,2003,19,5,1,126,*,,
Geoduck and Horseclam,76D,2003,19,Total,1,126,*,,
Geoduck and Horseclam,76D,2003,24,9,3,1739,2793,,
Geoduck and Horseclam,76D,2003,24,Total,3,1739,2793,,
Geoduck and Horseclam,76D,2004,6,10,1,6,*,,
Geoduck and Horseclam,76D,2004,6,11,2,12,*,,
Geoduck and Horseclam,76D,2004,6,14,1,5,*,,
Geoduck and Horseclam,76D,2004,6,17,1,60,*,,
Geoduck and Horseclam,76D,2004,6,18,1,30,*,,
Geoduck and Horseclam,76D,2004,6,Total,3,113,157,,
Geoduck and Horseclam,76D,2004,7,17,1,9,*,,
Geoduck and Horseclam,76D,2004,7,18,1,15,*,,
Geoduck and Horseclam,76D,2004,7,25,1,8,*,,
Geoduck and Horseclam,76D,2004,7,31,1,4,*,,
Geoduck and Horseclam,76D,2004,7,Total,2,36,*,,
Geoduck and Horseclam,76D,2004,8,2,2,161,*,,
Geoduck and Horseclam,76D,2004,8,Total,2,161,*,,
Geoduck and Horseclam,76D,2004,12,11,1,23,*,,
Geoduck and Horseclam,76D,2004,12,17,1,13,*,,
Geoduck and Horseclam,76D,2004,12,41,1,26,*,,
Geoduck and Horseclam,76D,2004,12,Total,1,62,*,,
Geoduck and Horseclam,76D,2004,14,10,1,183,*,,
Geoduck and Horseclam,76D,2004,14,11,3,4278,20623,,
Geoduck and Horseclam,76D,2004,14,15,1,15,*,,
Geoduck and Horseclam,76D,2004,14,Total,3,4476,21451,,
Geoduck and Horseclam,76D,2004,17,6,1,18,*,,
Geoduck and Horseclam,76D,2004,17,Total,1,18,*,,
Geoduck and Horseclam,76D,2004,19,5,1,31,*,,
Geoduck and Horseclam,76D,2004,19,Total,1,31,*,,
Geoduck and Horseclam,76D,2005,4,2,1,9,*,,
Geoduck and Horseclam,76D,2005,4,4,1,10,*,,
Geoduck and Horseclam,76D,2005,4,13,1,15,*,,
Geoduck and Horseclam,76D,2005,4,Total,1,34,*,,
Geoduck and Horseclam,76D,2005,6,9,1,5,*,,
Geoduck and Horseclam,76D,2005,6,13,1,40,*,,
